중앙선거관리위원회 선거통계시스템,,,,,,,,,,,,,
개표현황(투표구별),,,,,,,,,,,,,
[제21대][국회의원선거][국회의원선거][서울특별시][동작구],,,,,,,,,,,,,
선거구명,투표구명,선거인수,투표수,후보자별 득표수,,,,,,,"무효
투표수",기권수,
  ,  ,  ,  ,"더불어민주당
김병기","미래통합당
장진영",,"민중당
윤헌주","국가혁명배당금당
이서은",  ,계,  ,  ,
동작구갑,계,"185,301","128,611","70,290","54,526",,"1,494",812,0,"127,122","1,489","56,690",
  ,거소·선상투표,273,257,128,114,,3,3,0,248,9,16,
  ,관외사전투표,"14,372","14,365","9,048","4,827",,180,110,0,"14,165",200,7,
  ,국외부재자투표,970,283,185,95,,2,0,0,282,1,687,
  ,국외부재자투표(공관),0,13,10,2,,0,0,0,12,1,-13,
  ,소계,"24,964","16,858","8,295","8,099",,185,97,0,"16,676",182,"8,106",
  ,관내사전투표,"4,152","4,152","2,435","1,629",,40,16,0,"4,120",32,0,
  ,노량진제1동제1투,"2,885","1,950",894,"1,008",,21,8,0,"1,931",19,935,
  ,노량진제1동제2투,"2,886","1,580",772,754,,27,12,0,"1,565",15,"1,306",
  ,노량진제1동제3투,"2,180","1,478",654,789,,14,7,0,"1,464",14,702,
  ,노량진제1동제4투,"2,945","1,230",580,584,,27,13,0,"1,204",26,"1,715",
  ,노량진제1동제5투,"1,992","1,194",524,635,,16,7,0,"1,182",12,798,
  ,노량진제1동제6투,"2,885","1,799",892,837,,23,21,0,"1,773",26,"1,086",
  ,노량진제1동제7투,"1,684","1,272",519,727,,6,3,0,"1,255",17,412,
  ,노량진제1동제8투,"1,646",982,436,526,,6,3,0,971,11,664,
  ,노량진제1동제9투,"1,709","1,221",589,610,,5,7,0,"1,211",10,488,
  ,소계,"12,783","8,575","4,644","3,606",,145,69,0,"8,464",111,"4,208",
  ,관내사전투표,"4,399","4,398","2,705","1,536",,68,30,0,"4,339",59,1,
  ,노량진제2동제1투,"1,367",723,358,349,,4,7,0,718,5,644,
  ,노량진제2동제2투,"2,571","1,306",635,623,,17,13,0,"1,288",18,"1,265",
  ,노량진제2동제3투,"2,349","1,153",503,590,,33,15,0,"1,141",12,"1,196",
  ,노량진제2동제4투,"2,097",995,443,508,,23,4,0,978,17,"1,102",
  ,소계,"22,352","15,099","7,590","7,135",,131,90,0,"14,946",153,"7,253",
  ,관내사전투표,"5,138","5,137","2,971","2,069",,40,20,0,"5,100",37,1,
  ,상도제2동제1투,"4,026","2,366","1,150","1,145",,34,10,0,"2,339",27,"1,660",
  ,상도제2동제2투,"4,145","2,272",961,"1,252",,18,14,0,"2,245",27,"1,873",
  ,상도제2동제3투,"3,218","1,903",926,932,,10,14,0,"1,882",21,"1,315",
  ,상도제2동제4투,"2,995","1,908",822,"1,055",,10,6,0,"1,893",15,"1,087",
  ,상도제2동제5투,"2,830","1,513",760,682,,19,26,0,"1,487",26,"1,317",
  ,소계,"22,989","15,349","9,109","5,755",,188,108,0,"15,160",189,"7,640",
  ,관내사전투표,"6,494","6,494","4,277","2,047",,68,37,0,"6,429",65,0,
  ,상도제3동제1투,"4,035","2,322","1,205","1,042",,23,21,0,"2,291",31,"1,713",
  ,상도제3동제2투,"3,217","1,523",819,656,,15,11,0,"1,501",22,"1,694",
  ,상도제3동제3투,"2,725","1,392",814,513,,30,11,0,"1,368",24,"1,333",
  ,상도제3동제4투,"2,447","1,367",745,578,,20,11,0,"1,354",13,"1,080",
  ,상도제3동제5투,"4,071","2,251","1,249",919,,32,17,0,"2,217",34,"1,820",
  ,소계,"22,769","14,074","7,985","5,630",,194,90,0,"13,899",175,"8,695",
  ,관내사전투표,"4,132","4,131","2,703","1,332",,48,23,0,"4,106",25,1,
  ,상도제4동제1투,"2,550","1,321",741,532,,19,5,0,"1,297",24,"1,229",
  ,상도제4동제2투,"3,082","1,575",806,708,,20,12,0,"1,546",29,"1,507",
  ,상도제4동제3투,"2,607","1,319",664,606,,15,13,0,"1,298",21,"1,288",
  ,상도제4동제4투,"2,920","1,555",870,631,,29,11,0,"1,541",14,"1,365",
  ,상도제4동제5투,"3,943","2,311","1,160","1,056",,45,14,0,"2,275",36,"1,632",
  ,상도제4동제6투,"3,535","1,862","1,041",765,,18,12,0,"1,836",26,"1,673",
  ,소계,"29,090","19,888","10,563","8,771",,215,113,0,"19,662",226,"9,202",
  ,관내사전투표,"6,159","6,159","3,738","2,309",,51,25,0,"6,123",36,0,
  ,대방동제1투,"2,679","1,535",744,725,,25,12,0,"1,506",29,"1,144",
  ,대방동제2투,"2,645","1,644",786,808,,22,6,0,"1,622",22,"1,001",
  ,대방동제3투,"3,323","2,203",989,"1,150",,21,9,0,"2,169",34,"1,120",
  ,대방동제4투,"2,746","1,590",854,672,,13,18,0,"1,557",33,"1,156",
  ,대방동제5투,"2,649","1,743",749,958,,14,6,0,"1,727",16,906,
  ,대방동제6투,"2,310","1,362",728,588,,23,10,0,"1,349",13,948,
  ,대방동제7투,"3,362","1,889","1,032",804,,22,13,0,"1,871",18,"1,473",
  ,대방동제8투,"3,217","1,763",943,757,,24,14,0,"1,738",25,"1,454",
  ,소계,"18,199","12,594","6,529","5,740",,127,71,0,"12,467",127,"5,605",
  ,관내사전투표,"3,981","3,981","2,437","1,462",,35,18,0,"3,952",29,0,
  ,신대방제1동제1투,"1,772",939,456,443,,17,11,0,927,12,833,
  ,신대방제1동제2투,"2,264","1,165",543,569,,18,12,0,"1,142",23,"1,099",
  ,신대방제1동제3투,"3,393","2,243","1,189","1,012",,19,4,0,"2,224",19,"1,150",
  ,신대방제1동제4투,"3,439","1,876",866,939,,27,22,0,"1,854",22,"1,563",
  ,신대방제1동제5투,"3,350","2,390","1,038","1,315",,11,4,0,"2,368",22,960,
  ,소계,"16,540","11,252","6,202","4,751",,124,61,0,"11,138",114,"5,288",
  ,관내사전투표,"4,092","4,092","2,686","1,314",,46,11,0,"4,057",35,0,
  ,신대방제2동제1투,"2,433","1,454",758,655,,12,11,0,"1,436",18,979,
  ,신대방제2동제2투,"2,945","1,541",835,648,,23,13,0,"1,519",22,"1,404",
  ,신대방제2동제3투,"3,692","2,023","1,093",873,,29,10,0,"2,005",18,"1,669",
  ,신대방제2동제4투,"3,378","2,142",830,"1,261",,14,16,0,"2,121",21,"1,236",
  ,잘못 투입·구분된 투표지,0,4,2,1,,0,0,0,3,1,-4,
  ,  ,  ,  ,"더불어민주당
이수진","미래통합당
나경원",,"정의당
이호영","민중당
최서현","국가혁명배당금당
조현숙",계,  ,  ,
동작구을,계,"162,038","119,000","61,407","53,026",,"2,334",614,345,"117,726","1,274","43,038",
  ,거소·선상투표,224,218,86,114,,5,3,1,209,9,6,
  ,관외사전투표,"14,235","14,221","8,540","4,974",,327,103,51,"13,995",226,14,
  ,국외부재자투표,"1,087",253,171,74,,5,2,0,252,1,834,
  ,국외부재자투표(공관),0,5,4,1,,0,0,0,5,0,-5,
  ,소계,"35,325","24,708","12,484","11,295",,466,108,53,"24,406",302,"10,617",
  ,관내사전투표,"7,583","7,582","4,452","2,919",,118,21,12,"7,522",60,1,
  ,상도제1동제1투,"4,072","2,424","1,239","1,084",,47,16,1,"2,387",37,"1,648",
  ,상도제1동제2투,"3,883","2,266","1,135","1,003",,54,14,11,"2,217",49,"1,617",
  ,상도제1동제3투,"3,304","2,078","1,032",947,,52,8,6,"2,045",33,"1,226",
  ,상도제1동제4투,"3,038","1,905",827,999,,32,8,4,"1,870",35,"1,133",
  ,상도제1동제5투,"3,322","1,939",757,"1,102",,47,11,2,"1,919",20,"1,383",
  ,상도제1동제6투,"3,088","1,931",877,974,,42,11,8,"1,912",19,"1,157",
  ,상도제1동제7투,"3,062","1,786",915,770,,46,15,7,"1,753",33,"1,276",
  ,상도제1동제8투,"3,973","2,797","1,250","1,497",,28,4,2,"2,781",16,"1,176",
  ,소계,"26,169","18,673","8,313","9,657",,375,81,59,"18,485",188,"7,496",
  ,관내사전투표,"6,477","6,477","3,446","2,848",,90,20,19,"6,423",54,0,
  ,흑석동제1투,"2,783","1,798",550,"1,209",,19,6,5,"1,789",9,985,
  ,흑석동제2투,"2,566","1,111",464,591,,16,9,4,"1,084",27,"1,455",
  ,흑석동제3투,"2,637","1,698",658,964,,42,8,7,"1,679",19,939,
  ,흑석동제4투,"2,746","1,773",642,"1,042",,54,7,8,"1,753",20,973,
  ,흑석동제5투,"2,815","1,761",737,932,,53,14,6,"1,742",19,"1,054",
  ,흑석동제6투,"3,160","1,943",867,979,,56,12,7,"1,921",22,"1,217",
  ,흑석동제7투,"2,985","2,112",949,"1,092",,45,5,3,"2,094",18,873,
  ,소계,"19,710","13,284","7,567","5,078",,332,102,45,"13,124",160,"6,426",
  ,관내사전투표,"4,461","4,461","2,900","1,385",,91,27,12,"4,415",46,0,
  ,사당제1동제1투,"4,204","2,494","1,372","1,004",,60,18,10,"2,464",30,"1,710",
  ,사당제1동제2투,"3,052","1,841","1,002",732,,50,18,11,"1,813",28,"1,211",
  ,사당제1동제3투,"2,555","1,473",706,684,,45,14,3,"1,452",21,"1,082",
  ,사당제1동제4투,"2,444","1,402",764,573,,39,11,5,"1,392",10,"1,042",
  ,사당제1동제5투,"2,994","1,613",823,700,,47,14,4,"1,588",25,"1,381",
  ,소계,"22,668","16,612","8,023","8,003",,353,63,38,"16,480",132,"6,056",
  ,관내사전투표,"5,853","5,853","3,480","2,228",,94,19,4,"5,825",28,0,
  ,사당제2동제1투,"3,165","2,257",933,"1,266",,26,5,6,"2,236",21,908,
  ,사당제2동제2투,"1,945","1,019",511,465,,20,8,6,"1,010",9,926,
  ,사당제2동제3투,"2,132","1,299",686,550,,37,7,4,"1,284",15,833,
  ,사당제2동제4투,"2,955","1,642",667,902,,42,10,2,"1,623",19,"1,313",
  ,사당제2동제5투,"1,966","1,247",590,593,,42,1,7,"1,233",14,719,
  ,사당제2동제6투,"2,326","1,610",586,957,,46,6,4,"1,599",11,716,
  ,사당제2동제7투,"2,326","1,685",570,"1,042",,46,7,5,"1,670",15,641,
  ,소계,"19,269","13,926","6,750","6,768",,209,53,38,"13,818",108,"5,343",
  ,관내사전투표,"3,567","3,567","2,039","1,442",,51,6,9,"3,547",20,0,
  ,사당제3동제1투,"2,891","1,848",911,883,,23,13,5,"1,835",13,"1,043",
  ,사당제3동제2투,"1,441",858,424,404,,12,1,1,842,16,583,
  ,사당제3동제3투,"2,568","1,581",584,950,,24,8,6,"1,572",9,987,
  ,사당제3동제4투,"3,756","2,441","1,208","1,157",,45,7,9,"2,426",15,"1,315",
  ,사당제3동제5투,"2,482","1,764",830,883,,24,5,4,"1,746",18,718,
  ,사당제3동제6투,"2,564","1,867",754,"1,049",,30,13,4,"1,850",17,697,
  ,소계,"12,494","9,132","5,073","3,724",,156,60,31,"9,044",88,"3,362",
  ,관내사전투표,"3,993","3,993","2,555","1,317",,59,17,13,"3,961",32,0,
  ,사당제4동제1투,"2,117","1,250",620,582,,23,11,3,"1,239",11,867,
  ,사당제4동제2투,"1,911","1,215",541,627,,21,8,5,"1,202",13,696,
  ,사당제4동제3투,"2,537","1,510",768,669,,33,15,4,"1,489",21,"1,027",
  ,사당제4동제4투,"1,936","1,164",589,529,,20,9,6,"1,153",11,772,
  ,소계,"10,857","7,967","4,395","3,338",,106,39,29,"7,907",60,"2,890",
  ,관내사전투표,"3,582","3,582","2,269","1,241",,32,14,11,"3,567",15,0,
  ,사당제5동제1투,923,553,245,292,,9,1,4,551,2,370,
  ,사당제5동제2투,"2,266","1,490",696,743,,25,9,5,"1,478",12,776,
  ,사당제5동제3투,"2,183","1,196",598,551,,20,4,7,"1,180",16,987,
  ,사당제5동제4투,"1,903","1,146",587,511,,20,11,2,"1,131",15,757,
  ,잘못 투입·구분된 투표지,0,1,1,0,,0,0,0,1,0,-1,
,,,,,,,,,,,,,
